6/28/2016,6:45 PM,SH Setup,63X imaging,20160527_101_SH,1.75,
6/29/2016,11:00 AM,SH Post Processing,copy; MIPs; QC,20160527_101_SH,0.75,
5/31/2016,12:00 PM,YS - Setup,,20160531_YS,1.5,
5/31/2016,1:30 PM,YS - PostProcess,QC,20160531_YS,0.5,
6/1/2016,11:00 AM,YS - PostProcess,update confocal tables,20160531_YS,0,
6/1/2016,11:05 AM,YS - PostProcess,copy to HD; public,20160531_YS,0.25,
6/1/2016,11:25 AM,GI Meetings,Yi slide maps,20160531_YS,0.25,
6/10/2016,11:15 AM,KK - Setup,map coords,20160602_100_KK,0.25,
6/10/2016,3:00 PM,KK - Setup,confocal,20160602_100_KK,2.25,2.5
6/10/2016,5:50 PM,KK - Post Process,,20160602_100_KK,0,
6/15/2016,8:00 AM,KK - PostProcess,HD; Confocal Tbls,20160602_100_KK,0.25,
7/18/2016,11:00 AM,KK - Post Processing,renaming,20160602_100_KK,1,
7/18/2016,3:00 PM,KK - Post Processing,slidemaps,20160602_100_KK,0.75,
7/18/2016,4:15 PM,KK - Post Processing,verify all backups,20160602_100_KK,0.25,
7/21/2016,2:10 PM,KK - Post Processing,update slidemaps,20160602_100_KK,0.5,
7/21/2016,3:15 PM,KK - Post Processing,copy files,20160602_100_KK,0.25,3
6/20/2016,1:45 PM,XZ Setup,prep,20160603_100_XZ,0.75,
6/20/2016,3:00 PM,XZ Setup,imaging,20160603_100_XZ,2.25,
6/29/2016,2:40 PM,XZ Post Processing,slidemap,20160603_100_XZ,0.75,
7/14/2016,3:50 PM,XZ Post Processing,rename images; MIPs; stats,20160603_100_XZ,0.75,
7/15/2016,1:20 PM,XZ Post Processing,stats,20160603_100_XZ,0.75,
6/10/2016,5:45 PM,YS - PostProcess,copy,20160603_100_YS,0,
7/15/2016,9:10 AM,XZ Post Processing,stats for Susana's run,20160603_101_20X,0.5,
6/22/2016,2:55 PM,XZ Setup,imaging,20160603_101_XZ,1.75,
6/22/2016,4:55 PM,XZ Setup,check imaging time,20160603_101_XZ,0.25,
6/23/2016,10:45 AM,XZ Post Processing,copy to public; rename; slidemap,20160603_101_XZ,0.5,
6/27/2016,1:00 PM,XZ Post Processing,review brains from row D,20160603_101_XZ,2,
6/29/2016,1:00 PM,XZ Post Processing,slidemap,20160603_101_XZ,0.25,
6/29/2016,1:45 PM,XZ Post Processing,slidemap,20160603_101_XZ,0.25,
7/14/2016,3:15 PM,XZ Post Processing,rename images; MIPs; stats,20160603_101_XZ,0.5,
