10/1/2016,6:00 PM,depart,,,0,0,
10/1/2016,4:10 PM,SH Setup,,20160915_101_20X_SH-2,1.75,1.75,
10/1/2016,3:00 PM,XZ Setup,,20160830_102_20X_XZ-5,1.25,1.25,
10/2/2016,8:40 AM,depart,,,0,0,
10/2/2016,7:40 AM,XZ Post,remove & QC,20160830_102_20X_XZ-5,1,1,
10/3/2016,5:40 PM,depart,,,0,0,
10/3/2016,2:30 PM,GI Meeting,,20160915_100_20X_SH,1,1,
10/3/2016,12:55 PM,Group Meeting,PTR team,,1,1,
10/3/2016,11:45 AM,lunch,,,0,0,
10/3/2016,11:15 AM,Nitaback,,,0.5,,
10/3/2016,12:45 PM,Nitaback,,,0.25,0.75,
10/3/2016,8:45 AM,PTR Chores,email; calendars,,0.75,0.75,
10/3/2016,9:30 AM,Reiser,cross,,1.75,1.75,
10/3/2016,12:15 PM,SH Prep,,20160915_100_20X_SH,0.5,,
10/3/2016,2:00 PM,SH Prep,,20160915_100_20X_SH,0.5,1,
10/3/2016,3:30 PM,SH Setup,,20160915_100_20X_SH,2.25,2.25,8.5
10/4/2016,5:00 PM,depart,,,0,0,
10/4/2016,11:30 AM,lunch,,,0,0,
10/4/2016,7:45 AM,Other Imaging,future calendar,,0.75,0.75,
10/4/2016,8:30 AM,PTR Chores,email; calendars,,0.25,,
10/4/2016,4:25 PM,PTR Chores,chargebacks,,0.5,0.75,
10/4/2016,12:30 PM,SH Post,,20160915_100_20X_SH,2.5,,
10/4/2016,9:00 AM,SH Post,,20160915_101_20X_SH,1.25,,
10/4/2016,10:15 AM,SH Post,,20160915_101_20X_SH-2,1.25,5,
10/4/2016,12:00 PM,SH Prep,,20160922_102_20X_SH,0.5,0.5,
10/4/2016,3:00 PM,SH Setup,,20160922_102_20X_SH,1.5,1.5,7
10/4/2016,8:40 AM,XZ Post,,20160830_102_20X_XZ-5,0.25,0.25,
10/5/2016,5:30 PM,depart,,,0,0,
10/5/2016,11:30 AM,lunch,,,0,,
10/5/2016,3:37 PM,lunch,,,0,0,
10/5/2016,8:45 AM,Nitaback,,,1.5,,
10/5/2016,2:00 PM,Nitaback,,,1,,
10/5/2016,3:05 PM,Nitaback,,,0.5,,
10/5/2016,4:30 PM,Nitaback,,,1,4,
10/5/2016,8:15 AM,Other Imaging,future calendar,,0.5,0.5,
10/5/2016,7:50 AM,PTR Chores,email; calendars,,0.5,0.5,
10/5/2016,12:00 PM,Reiser,sort,,2,2,
10/5/2016,7:40 AM,SH Post,,20160922_102_20X_SH,0.25,,
10/5/2016,10:20 AM,SH Post,,20160922_102_20X_SH,1.25,1.5,
10/5/2016,3:00 PM,SH Prep,meeting,,0,0,
10/6/2016,5:40 PM,depart,,,0,0,
10/6/2016,4:00 PM,Group Meeting,Mike Dolan,,0.75,0.75,
10/6/2016,11:35 AM,lunch,,,0,0,
