9/28/2016,20160630_100_20X_XZ,2.0
9/26/2016,20160630_100_20X_XZ_1,0.75
9/30/2016,20160810_100_20X_SH,2.0
9/26/2016,20160816_100_20X_SH_2,0.25
9/26/2016,20160819_100_20X_SH,0.25
9/28/2016,20160819_100_20X_SH_2,1.5
9/28/2016,20160819_100_20X_SH_3,4.75
9/27/2016,20160830_100_20X_XZ_2,2.0
9/26/2016,20160830_102_20X_XZ,2.25
9/30/2016,20160830_102_20X_XZ-5,2.75
9/27/2016,20160830_102_20X_XZ_3,1.25
10/7/2016,20160915_100_20X_SH,8.0
10/6/2016,20160915_100_20X_SH-2,7.0
10/21/2016,20160915_100_20X_SH-3,0.25
9/28/2016,20160915_101_20X_SH,7.5
9/30/2016,20160915_101_20X_SH-2,7.25
10/17/2016,20160922_100_20X_SH,0.75
10/6/2016,20160922_101_20X_SH,6.75
10/19/2016,20160922_101_20X_SH-2,5.75
10/21/2016,20160922_101_20X_SH-3,0.25
10/5/2016,20160922_102_20X_SH,5.75
10/21/2016,20160929_100_20X_SH,0.75
10/21/2016,20161013_100_20X_YD,1.75
10/21/2016,20161013_101_20X-YD,0.5
10/20/2016,20161013_101_20X_YD,3.0
10/14/2016,YD,0.25
10/14/2016,YD,0.25
